"SAMPLEID","BC_1.pa.res","LOW_P.r.res","HIGHLY_MOTILE.pa.res","SALINITY_3.pt.res","CENTRIC.pt","MMI"
"102",8.22169772172044,4.03605650004893,8.57088613319435,9.24841526510285,7.12876389433959,74.4116390288123
"136",6.55571414900018,0,10,10,6.74593241358487,66.6032931251701
"137",4.95684790807383,0,5.64896349291704,6.28455232008514,6.74593241358487,47.2725922693218
"138",10,0,10,10,5.56263510943392,71.1252702188678
"139",4.81802732949082,0,1.89083000996986,6.20024280788849,6.51349901455522,38.8451983238088
"140",10,2.15989924411553,10,3.206216965349,6.94931163773582,64.6308556944007
"141",5.3482758177978,0,10,9.42850717228441,10,69.5535659801644
"142",4.92955828134481,0,10,6.17277603856501,7.78131755471696,57.7673037492535
"15",5.6857029807478,0.102863738145713,0,10,10,51.577133437787
"16",4.88139384817697,5.614338860089,2.05280544551386,3.15335215245136,6.51349901455522,44.4307786415728
"17",4.95427627832206,0,0,10,10,49.9085525566441
"18",10,10,6.58820653156046,10,10,93.1764130631209
"19",10,10,10,7.18878279773718,6.38436934842764,87.1463042923296
"207",4.6085290507935,0,10,10,0,49.217058101587
"221",5.56027535867504,0.286038854849271,10,10,3.02699802911044,57.7466244852695
"223",5.88747599248054,0,0,0,6.94931163773582,25.6735752604327
"224",6.11467708676275,0,0,0,5.93241551698109,24.0941852074877
"225",6.0758874875486,0,4.74331609203847,0,7.12876389433959,35.8959349478533
"226",6.72630687111586,0.42423366598821,6.49023303348953,0.0270415838945208,6.24530663105947,39.8262435710952
"299",8.0608341349719,0,7.1422700104409,1.42027694312537,6.74593241358487,46.7386270042461
"301",4.54950885654031,1.23029031198387,10,10,10,71.5595983370484
"302",4.56615394537454,4.30842660565933,9.43377621587191,5.82380120062818,6.94931163773582,62.1629392105396
"303",10,0,10,10,10,80
"304",3.81491681431608,2.49141366640452,10,8.58347461615506,6.51349901455522,62.8066082228618
"305",10,1.48543391759081,10,10,10,82.9708678351816
"39",10,2.95801255955404,3.53929455403891,4.11878499414464,8.25674950727761,57.7456832300304
"405",5.40108853422054,0,10,0,3.02699802911044,36.856173126662
"409",5.90863912976592,0,5.03564449196818,3.15065270092477,7.55944931018865,43.308771265695
"41",10,1.20210584392264,8.11395437530808,10,10,78.6321204384614
"410",6.57102580419853,1.3432195897844,10,6.22166300939305,7.67566600970348,63.6231488261589
"42",3.43875416360715,4.34685127094485,2.50553253906977,9.26556144428527,5.23794987353884,49.5892985828918
"43",4.56292995821894,10,8.79133236908148,8.88774291172022,8.52087836981131,81.5257672176639
"44",7.90860978980828,0.800202028563924,9.96724400700621,4.24522913016339,7.96620775849055,61.7749854280647
"45",5.56134069095982,8.75338997183229,8.59608015466498,9.33180012447001,8.96146779156964,82.4081574669935
"69",6.87047445016666,0.86073403552057,8.60783420651113,3.04675143426762,7.12876389433959,53.0291160416112
"70",10,2.80996036230201,6.53095301141515,9.29329215087318,8.37296620679244,74.0143434627656
"71",4.529971829912,1.29235356338526,0,2.49651695691563,5.93241551698109,28.502515734388
"73",5.01167178458021,0,10,10,10,70.0233435691604
"95",6.39871744436588,4.29761219176827,8.21438485216085,10,6.09511889630185,70.0116667691937
